year,avg_temp,MA
1750,8.72,
1751,7.98,
1752,5.78,
1753,8.39,
1754,8.47,7.868
1755,8.36,7.796
1756,8.85,7.97
1757,9.02,8.618
1758,6.74,8.288
1759,7.99,8.192
1760,7.19,7.958
1761,8.77,7.942
1762,8.61,7.86
1763,7.5,8.012
1764,8.4,8.094
1765,8.25,8.306
1766,8.41,8.234
1767,8.22,8.156
1768,6.78,8.012
1769,7.69,7.87
1770,7.69,7.758
1771,7.85,7.646
1772,8.19,7.64
1773,8.22,7.928
1774,8.77,8.144
1775,9.18,8.442
1776,8.3,8.532
1777,8.26,8.546
1778,8.54,8.61
1779,8.98,8.652
1780,9.43,8.702
1781,8.1,8.662
1782,7.9,8.59
1783,7.68,8.418
1784,7.86,8.194
1785,7.36,7.78
1786,8.26,7.812
1787,8.03,7.838
1788,8.45,7.992
1789,8.33,8.086
1790,7.98,8.21
1791,8.23,8.204
1792,8.09,8.216
1793,8.23,8.172
1794,8.53,8.212
1795,8.35,8.286
1796,8.27,8.294
1797,8.51,8.378
1798,8.67,8.466
1799,8.51,8.462
1800,8.48,8.488
1801,8.59,8.552
1802,8.58,8.566
1803,8.5,8.532
1804,8.84,8.598
1805,8.56,8.614
1806,8.43,8.582
1807,8.28,8.522
1808,7.63,8.348
1809,7.08,7.996
1810,6.92,7.668
1811,6.86,7.354
1812,7.05,7.108
1813,7.74,7.13
1814,7.59,7.232
1815,7.24,7.296
1816,6.94,7.312
1817,6.98,7.298
1818,7.83,7.316
1819,7.37,7.272
1820,7.62,7.348
1821,8.09,7.578
1822,8.19,7.82
1823,7.72,7.798
1824,8.55,8.034
1825,8.39,8.188
1826,8.36,8.242
1827,8.81,8.366
1828,8.17,8.456
1829,7.94,8.334
1830,8.52,8.36
1831,7.64,8.216
1832,7.45,7.944
1833,8.01,7.912
1834,8.15,7.954
1835,7.39,7.728
1836,7.7,7.74
1837,7.38,7.726
1838,7.51,7.626
1839,7.63,7.522
1840,7.8,7.604
1841,7.69,7.602
1842,8.02,7.73
1843,8.17,7.862
1844,7.65,7.866
1845,7.85,7.876
1846,8.55,8.048
1847,8.09,8.062
1848,7.98,8.024
1849,7.98,8.09
1850,7.9,8.1
1851,8.18,8.026
1852,8.1,8.028
1853,8.04,8.04
1854,8.21,8.086
1855,8.11,8.128
1856,8,8.092
1857,7.76,8.024
1858,8.1,8.036
1859,8.25,8.044
1860,7.96,8.014
1861,7.85,7.984
1862,7.56,7.944
1863,8.11,7.946
1864,7.98,7.892
1865,8.18,7.936
1866,8.29,8.024
1867,8.44,8.2
1868,8.25,8.228
1869,8.43,8.318
1870,8.2,8.322
1871,8.12,8.288
1872,8.19,8.238
1873,8.35,8.258
1874,8.43,8.258
1875,7.86,8.19
1876,8.08,8.182
1877,8.54,8.252
1878,8.83,8.348
1879,8.17,8.296
1880,8.12,8.348
1881,8.27,8.386
1882,8.13,8.304
1883,7.98,8.134
1884,7.77,8.054
1885,7.92,8.014
1886,7.95,7.95
1887,7.91,7.906
1888,8.09,7.928
1889,8.32,8.038
1890,7.97,8.048
1891,8.02,8.062
1892,8.07,8.094
1893,8.06,8.088
1894,8.16,8.056
1895,8.15,8.092
1896,8.21,8.13
1897,8.29,8.174
1898,8.18,8.198
1899,8.4,8.246
1900,8.5,8.316
1901,8.54,8.382
1902,8.3,8.384
1903,8.22,8.392
1904,8.09,8.33
1905,8.23,8.276
1906,8.38,8.244
1907,7.95,8.174
1908,8.19,8.168
1909,8.18,8.186
1910,8.22,8.184
1911,8.18,8.144
1912,8.17,8.188
1913,8.3,8.21
1914,8.59,8.292
1915,8.59,8.366
1916,8.23,8.376
1917,8.02,8.346
1918,8.13,8.312
1919,8.38,8.27
1920,8.36,8.224
1921,8.57,8.292
1922,8.41,8.37
1923,8.42,8.428
1924,8.51,8.454
1925,8.53,8.488
1926,8.73,8.52
1927,8.52,8.542
1928,8.63,8.584
1929,8.24,8.53
1930,8.63,8.55
1931,8.72,8.548
1932,8.71,8.586
1933,8.34,8.528
1934,8.63,8.606
1935,8.52,8.584
1936,8.55,8.55
1937,8.7,8.548
1938,8.86,8.652
1939,8.76,8.678
1940,8.76,8.726
1941,8.77,8.77
1942,8.73,8.776
1943,8.76,8.756
1944,8.85,8.774
1945,8.58,8.738
1946,8.68,8.72
1947,8.8,8.734
1948,8.75,8.732
1949,8.59,8.68
1950,8.37,8.638
1951,8.63,8.628
1952,8.64,8.596
1953,8.87,8.62
1954,8.56,8.614
1955,8.63,8.666
1956,8.28,8.596
1957,8.73,8.614
1958,8.77,8.594
1959,8.73,8.628
1960,8.58,8.618
1961,8.8,8.722
1962,8.75,8.726
1963,8.86,8.744
1964,8.41,8.68
1965,8.53,8.67
1966,8.6,8.63
1967,8.7,8.62
1968,8.52,8.552
1969,8.6,8.59
1970,8.7,8.624
1971,8.6,8.624
1972,8.5,8.584
1973,8.95,8.67
1974,8.47,8.644
1975,8.74,8.652
1976,8.35,8.602
1977,8.85,8.672
1978,8.69,8.62
1979,8.73,8.672
1980,8.98,8.72
1981,9.17,8.884
1982,8.64,8.842
1983,9.03,8.91
1984,8.69,8.902
1985,8.66,8.838
1986,8.83,8.77
1987,8.99,8.84
1988,9.2,8.874
1989,8.92,8.92
1990,9.23,9.034
1991,9.18,9.104
1992,8.84,9.074
1993,8.87,9.008
1994,9.04,9.032
1995,9.35,9.056
1996,9.04,9.028
1997,9.2,9.1
1998,9.52,9.23
1999,9.29,9.28
2000,9.2,9.25
2001,9.41,9.324
2002,9.57,9.398
2003,9.53,9.4
2004,9.32,9.406
2005,9.7,9.506
2006,9.53,9.53
2007,9.73,9.562
2008,9.43,9.542
2009,9.51,9.58
2010,9.7,9.58
2011,9.52,9.578
2012,9.51,9.534
2013,9.61,9.57
2014,9.57,9.582
2015,9.83,9.608
